resID,resdn,count,sptl_unit,tsar_trty,geonm_crd,geonm_lat,geonm_long,geonm_url,cnfdnc,alt_tpnm,note
18,Tobolsk,103,town,yes,"58.19807, 68.25457",58.19807,68.25457,https://www.geonames.org/1489530/tobolsk.html,3,TOMOLSK,
19,Perm,46,town,yes,"58.01046, 56.25017",58.01046,56.25017,https://www.geonames.org/511196/perm.html,3,,
20,Pskov,20,town,yes,"57.8136, 28.3496",57.8136,28.3496,https://www.geonames.org/504341/pskov.html,3,,
21,Gottenburg,520,town,no,"57.70716, 11.96679",57.70716,11.96679,https://www.geonames.org/2711537/goeteborg.html,2,,
22,Jaroslaw,44,town,yes,"57.62987, 39.87368",57.62987,39.87368,https://www.geonames.org/468902/yaroslavl.html,3,JAROESLAWITZ,
23,Rostov,115,town,yes,"57.1914, 39.41394",57.1914,39.41394,https://www.geonames.org/501183/rostov.html,3,,
24,Goldingen,115,town,yes,"56.97399, 21.95721",56.97399,21.95721,https://www.geonames.org/458460/kuldiga.html,2,,
25,Riga,2256,town,yes,"56.946, 24.10589",56.946,24.10589,https://www.geonames.org/456172/riga.html,3,,
26,Tver,46,town,yes,"56.85836, 35.90057",56.85836,35.90057,https://www.geonames.org/480060/tver.html,3,TWER,
27,Mitawa,206,town,yes,"56.65, 23.71278",56.65,23.71278,https://www.geonames.org/459279/jelgava.html,3,,
28,Friedrichstadt,134,town,yes,"56.61319, 25.08316",56.61319,25.08316,https://www.geonames.org/459402/jaunjelgava.html,2,,alternate locations in Germany
29,Libau,766,town,yes,"56.50474, 21.01085",56.50474,21.01085,https://www.geonames.org/457954/liepaja.html,3,LIBAVA,
30,Tomsk,22,town,yes,"56.49771, 84.97437",56.49771,84.97437,https://www.geonames.org/1489425/tomsk.html,3,,
31,Sarapul,60,town,yes,"56.47633, 53.79782",56.47633,53.79782,https://www.geonames.org/498687/sarapul.html,2,,
32,Alexandrowo,115,town,yes,"56.39516, 38.71216",56.39516,38.71216,https://www.geonames.org/583350/aleksandrov.html,3,ALEKSANDROWO,
33,Nizhni Novgorod,28,town,yes,"56.32867, 44.00205",56.32867,44.00205,https://www.geonames.org/520555/nizhniy-novgorod.html,3,,
34,Telschen,87,town,yes,"55.98139, 22.24722",55.98139,22.24722,https://www.geonames.org/593926/telsiai.html,3,,
35,Schaulen,196,town,yes,"55.93333, 23.31667",55.93333,23.31667,https://www.geonames.org/594739/siauliai.html,3,,
36,Palanga,12,town,yes,"55.9175, 21.06861",55.9175,21.06861,https://www.geonames.org/596238/palanga.html,3,,
37,Dunaburg,327,town,yes,"55.88333, 26.53333",55.88333,26.53333,https://www.geonames.org/460413/daugavpils.html,3,DUENABURG,
38,Glasgow,209,town,no,"55.86515, -4.25763",55.86515,-4.25763,https://www.geonames.org/2648579/glasgow.html,3,,
39,Kazan,106,town,yes,"55.78874, 49.12214",55.78874,49.12214,https://www.geonames.org/551487/kazan.html,3,,
40,Moscow,3502,town,yes,"55.75222, 37.61556",55.75222,37.61556,https://www.geonames.org/524901/moscow.html,3,,
41,Polotsk,26,town,yes,"55.4879, 28.7856",55.4879,28.7856,https://www.geonames.org/623317/polatsk.html,3,,
42,Gorodok,53,town,yes,"55.4624, 29.9845",55.4624,29.9845,https://www.geonames.org/628155/haradok.html,3,,
43,Podolsk,313,town,yes,"55.42419, 37.55472",55.42419,37.55472,https://www.geonames.org/508101/podolsk.html,3,PADOLSK; POSALSK; PODOLE,
44,Rossiani,70,town,yes,"55.37973, 23.12386",55.37973,23.12386,https://www.geonames.org/595378/raseiniai.html,3,ROSSEIN,
45,Wilkomir,118,town,yes,"55.25, 24.75",55.25,24.75,https://www.geonames.org/593733/ukmerge.html,3,,
46,Vitebsk,296,town,yes,"55.1904, 30.2049",55.1904,30.2049,https://www.geonames.org/620127/vitebsk.html,3,WITEBSK,
47,Tilsit,104,town,no,"55.08392, 21.87851",55.08392,21.87851,https://www.geonames.org/490068/sovetsk.html,3,,
48,Georgenburg,178,town,yes,"55.07556, 22.76416",55.07556,22.76416,https://www.geonames.org/598655/jurbarkas.html,3,,
49,Kovno,7915,town,yes,"54.90272, 23.90961",54.90272,23.90961,https://www.geonames.org/598316/kaunas.html,3,KOWNO,
50,Smolensk,162,town,yes,"54.7818, 32.0401",54.7818,32.0401,https://www.geonames.org/491687/smolensk.html,3,,
51,Wilna,4096,town,yes,"54.68916, 25.2798",54.68916,25.2798,https://www.geonames.org/593116/vilnius.html,3,,
52,Wirballen,190,town,yes,"54.62858, 22.82272",54.62858,22.82272,https://www.geonames.org/593086/virbalis.html,3,,
53,Belfast,1,town,no,"54.59682, -5.92541",54.59682,-5.92541,https://www.geonames.org/2655984/belfast.html,3,,
54,Akuly,160,town,yes,"54.58877, 32.38208",54.58877,32.38208,https://www.geonames.org/7092473/akuly.html,3,,
55,Mariampol,540,town,yes,"54.55991, 23.35412",54.55991,23.35412,https://www.geonames.org/597231/marijampole.html,3,,
56,Kaluga,57,town,yes,"54.5293, 36.27542",54.5293,36.27542,https://www.geonames.org/553915/kaluga.html,3,,
57,Smorgon,89,town,yes,"54.4798, 26.3957",54.4798,26.3957,https://www.geonames.org/621713/smarhon.html,3,,
58,Osmiany,9,town,yes,"54.421, 25.936",54.421,25.936,https://www.geonames.org/630515/ashmyany.html,3,,
59,Borisow,19,town,yes,"54.2279, 28.505",54.2279,28.505,https://www.geonames.org/630376/barysaw.html,2,,
60,Tula,75,town,yes,"54.19609, 37.61822",54.19609,37.61822,https://www.geonames.org/480562/tula.html,3,,
61,Krasnopol,50,town,yes,"54.11613, 23.20476",54.11613,23.20476,https://www.geonames.org/767610/krasnopol.html,3,,
62,Suwalki,6358,town,yes,"54.11175, 22.93087",54.11175,22.93087,https://www.geonames.org/757718/suwalki.html,3,SUWALKY; SUWALK; SUWALKEN,
63,Sejny,86,town,no,"54.10802, 23.34698",54.10802,23.34698,https://www.geonames.org/759503/sejny.html,3,,
64,Mogilev,392,town,yes,"53.9168, 30.3449",53.9168,30.3449,https://www.geonames.org/625665/mahilyow.html,3,MOHILEW; MOGILEW; MOHILOW; MOHILNO,
65,Minsk,2842,town,yes,"53.9, 27.56667",53.9,27.56667,https://www.geonames.org/625144/minsk.html,3,,
66,Lida,112,town,yes,"53.88333, 25.29972",53.88333,25.29972,https://www.geonames.org/626081/lida.html,3,,
67,Augustowo,254,town,yes,"53.84321, 22.97979",53.84321,22.97979,http://www.geonames.org/776597/augustow.html,3,AVGUSTOW,
68,Hull,190,town,no,"53.7446, -0.33525",53.7446,-0.33525,https://www.geonames.org/2645425/kingston-upon-hull.html,3,,
69,Grodno,1617,town,yes,"53.6884, 23.8258",53.6884,23.8258,https://www.geonames.org/627904/hrodna.html,3,GRODNOW; GRODNY,
70,Grajewo,127,town,yes,"53.64728, 22.45537",53.64728,22.45537,https://www.geonames.org/771506/grajewo.html,2,,
71,Novogrudok,34,town,yes,"53.5942, 25.8191",53.5942,25.8191,https://www.geonames.org/624785/novogrudok.html,3,,
72,Hamburg,13909,town,no,"53.55073, 9.99302",53.55073,9.99302,https://www.geonames.org/2911298/hamburg.html,3,,
73,Stettin,503,town,no,"53.42894, 14.55302",53.42894,14.55302,https://www.geonames.org/3083829/szczecin.html,3,SLETTIN; SZCZECIN,
74,Liverpool,204,town,no,"53.41058, -2.97794",53.41058,-2.97794,https://www.geonames.org/2644210/liverpool.html,3,,
75,Bryansk,36,town,yes,"53.25209, 34.37167",53.25209,34.37167,https://www.geonames.org/571476/bryansk.html,3,,
76,Penza,10,town,yes,"53.20066, 45.00464",53.20066,45.00464,https://www.geonames.org/511565/penza.html,3,,
77,Samara,65,town,yes,"53.20007, 50.15",53.20007,50.15,https://www.geonames.org/499099/samara.html,3,,
78,Lomze,2206,town,yes,"53.17806, 22.05935",53.17806,22.05935,https://www.geonames.org/766027/lomza.html,3,LOMZA,
79,Bobruisk,21,town,yes,"53.1384, 29.2214",53.1384,29.2214,https://www.geonames.org/630468/babruysk.html,3,,
80,Bialystock,1599,town,yes,"53.13333, 23.16433",53.13333,23.16433,https://www.geonames.org/776069/bialystok.html,3,BIALYSTOK; BIALISTOCK; BELSTOW,
81,Mlawa,91,town,yes,"53.11278, 20.3841",53.11278,20.3841,https://www.geonames.org/764634/mlawa.html,3,,
82,Dobrzyn,98,town,no,"53.11087, 19.05381",53.11087,19.05381,https://www.geonames.org/3098925/golub-dobrzyn.html,2,,
83,Slonim,77,town,yes,"53.0869, 25.3163",53.0869,25.3163,https://www.geonames.org/621754/slonim.html,3,,
84,Bremen,779,town,no,"53.07582, 8.80717",53.07582,8.80717,https://www.geonames.org/2944388/bremen.html,3,,
85,Rypin,198,town,yes,"53.06603, 19.40941",53.06603,19.40941,https://www.geonames.org/3086511/rypin.html,2,,
86,Slutsk,181,town,yes,"53.0274, 27.5597",53.0274,27.5597,https://www.geonames.org/621741/slutsk.html,3,,
87,Orel,32,town,yes,"52.96508, 36.07849",52.96508,36.07849,https://www.geonames.org/515012/orel.html,3,,
88,Bielsk,60,town,yes,"52.76512, 23.18647",52.76512,23.18647,https://www.geonames.org/775986/bielsk-podlaski.html,3,BELSK; BILSK,
89,Tambov,10,town,yes,"52.73169, 41.44326",52.73169,41.44326,https://www.geonames.org/484646/tambov.html,3,TAMBOW,
90,Wloclawek,175,town,yes,"52.64817, 19.0678",52.64817,19.0678,https://www.geonames.org/3081741/wloclawek.html,3,,
91,Plotzk,4265,town,yes,"52.54682, 19.70638",52.54682,19.70638,https://www.geonames.org/3088825/plock.html,3,PLOCK; PLOCH; PLOTZ,
92,Berlin,554,town,no,"52.52437, 13.41053",52.52437,13.41053,https://www.geonames.org/2950159/berlin.html,3,,
93,Posen,187,town,no,"52.40692, 16.92993",52.40692,16.92993,https://www.geonames.org/3088171/poznan.html,3,,
94,Irkutsk,48,town,yes,"52.29778, 104.29639",52.29778,104.29639,https://www.geonames.org/2023469/irkutsk.html,3,,
95,Kutno,90,town,yes,"52.23064, 19.36409",52.23064,19.36409,https://www.geonames.org/3094170/kutno.html,3,,
96,Warsaw,4666,town,yes,"52.22977, 21.01178",52.22977,21.01178,https://www.geonames.org/756135/warsaw.html,3,WASAW; WARSAR; WARSCHAU,
97,Konin,51,town,yes,"52.22338, 18.25121",52.22338,18.25121,https://www.geonames.org/3095321/konin.html,3,,
98,Kobrin,142,town,yes,"52.2138, 24.3564",52.2138,24.3564,https://www.geonames.org/627145/kobryn.html,3,,
99,Pinsk,183,town,yes,"52.1229, 26.0951",52.1229,26.0951,https://www.geonames.org/623549/pinsk.html,3,,
100,Brest Litovsk,666,town,yes,"52.09755, 23.68775",52.09755,23.68775,https://www.geonames.org/629634/brest.html,3,BREST,
101,Biala,31,town,yes,"52.03238, 23.11652",52.03238,23.11652,https://www.geonames.org/776175/biala-podlaska.html,3,,
